Started Log File:     logs/MMTK 2022-09-18 23-32-55-COM6.txt
Data Source:     COM6

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
0	0.00	0.00	0.00	0	3	0	0	0	12.36	3	3	3	3	3	
1	183.29	20.16	-0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	183.29	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	20.16	-0.01	0	2	0	0	0	11.95	1	1	1	1	1	
1	0.00	20.16	-0.01	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	20.16	-0.02	0	2	0	0	0	12.25	1	1	1	1	1	
1	0.00	20.16	-0.02	0	2	0	0	0	12.21	1	1	1	1	1	
1	0.00	20.16	-0.02	0	2	0	0	0	12.21	1	1	1	1	1	
1	0.00	20.16	-0.02	0	2	0	0	0	12.32	1	1	1	1	1	
1	0.00	20.16	-0.02	0	2	0	0	0	12.19	1	1	1	1	1	
1	0.00	20.16	-0.02	0	2	0	0	0	12.48	1	1	1	1	1	
1	0.00	20.16	-0.02	0	2	0	0	0	12.32	1	1	1	1	1	
1	0.00	20.16	-0.03	0	2	0	0	0	12.36	1	1	1	1	1	
1	0.00	20.16	-0.03	0	2	0	0	0	12.48	1	1	1	1	1	
1	0.00	20.16	-0.03	0	2	0	0	0	12.29	1	1	1	1	1	
1	0.00	20.16	-0.03	0	2	0	0	0	12.48	1	1	1	1	1	
1	-2.51	19.86	-0.03	0	2	0	0	0	12.46	1	1	1	1	1	
1	-3.73	19.40	-0.03	0	2	0	0	0	12.46	1	1	1	1	1	
1	-2.82	19.06	-0.03	0	2	0	0	0	12.48	1	1	1	1	1	
1	-2.49	18.76	-0.03	0	2	0	0	0	12.48	1	1	1	1	1	
1	-2.40	18.46	-0.03	0	2	0	0	0	12.48	1	1	1	1	1	
1	-2.40	18.46	-0.03	0	2	0	0	0	12.50	1	1	1	1	1	
1	-2.65	18.14	-0.03	0	2	0	0	0	12.50	1	1	1	1	1	
1	-1.99	17.90	-0.03	0	2	0	0	0	12.07	1	1	1	1	1	
1	-2.07	17.64	-0.04	0	2	0	0	0	12.46	1	1	1	1	1	
1	-0.82	17.54	-0.04	0	2	0	0	0	12.44	1	1	1	1	1	
1	-2.61	17.23	-0.04	0	2	0	0	0	12.38	1	1	1	1	1	
1	-2.61	17.23	-0.04	0	2	0	0	0	12.42	1	1	1	1	1	
1	-4.06	16.73	-0.04	0	2	0	0	0	12.48	1	1	1	1	1	
1	-4.06	16.24	-0.04	0	2	0	0	0	12.36	1	1	1	1	1	
1	-3.90	15.76	-0.04	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.90	15.76	-0.04	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.65	15.32	-0.04	0	2	0	0	0	12.50	1	1	1	1	1	
1	-3.62	14.87	-0.04	0	2	0	0	0	12.50	1	1	1	1	1	
1	-3.56	14.44	-0.04	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.51	14.01	-0.04	0	2	0	0	0	12.50	1	1	1	1	1	
1	-3.40	13.60	-0.04	0	2	0	0	0	12.46	1	1	1	1	1	
1	-3.40	13.60	-0.04	0	2	0	0	0	12.07	1	1	1	1	1	
1	-3.48	13.17	-0.04	0	2	0	0	0	12.46	1	1	1	1	1	
1	-3.32	12.77	-0.04	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.32	12.37	-0.04	0	2	0	0	0	12.23	1	1	1	1	1	
1	-3.23	11.97	-0.04	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.23	11.97	-0.04	0	2	0	0	0	12.19	1	1	1	1	1	
1	-3.32	11.57	-0.04	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.21	11.17	-0.04	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.26	10.78	-0.04	0	2	0	0	0	12.50	1	1	1	1	1	
1	-3.23	10.38	-0.04	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.15	10.00	-0.04	0	2	0	0	0	12.46	1	1	1	1	1	
1	-3.15	10.00	-0.04	0	2	0	0	0	12.46	1	1	1	1	1	
1	-3.23	9.61	-0.04	0	2	0	0	0	12.05	1	1	1	1	1	
1	-3.07	9.23	-0.05	0	2	0	0	0	12.46	1	1	1	1	1	
1	-3.15	8.85	-0.05	0	2	0	0	0	12.46	1	1	1	1	1	
1	-3.15	8.85	-0.05	0	2	0	0	0	12.46	1	1	1	1	1	
1	-3.18	8.09	-0.05	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.18	8.09	-0.05	0	2	0	0	0	12.21	1	1	1	1	1	
1	-3.07	7.71	-0.05	0	2	0	0	0	12.48	1	1	1	1	1	
1	-2.90	7.36	-0.05	0	2	0	0	0	12.46	1	1	1	1	1	
1	-3.04	6.99	-0.05	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.04	6.99	-0.05	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.15	6.60	-0.05	0	2	0	0	0	12.50	1	1	1	1	1	
1	-3.15	6.22	-0.05	0	2	0	0	0	12.46	1	1	1	1	1	
1	-3.07	5.84	-0.05	0	2	0	0	0	12.50	1	1	1	1	1	
1	-3.09	5.47	-0.05	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.15	5.09	-0.05	0	2	0	0	0	12.50	1	1	1	1	1	
1	-3.15	5.09	-0.05	0	2	0	0	0	12.17	1	1	1	1	1	
1	-3.07	4.71	-0.05	0	2	0	0	0	12.48	1	1	1	1	1	
1	-3.15	4.33	-0.05	0	2	0	0	0	12.50	1	1	1	1	1	
1	-2.82	3.98	-0.05	0	2	0	0	0	12.30	1	1	1	1	1	
1	-2.88	3.63	-0.05	0	2	0	0	0	12.50	1	1	1	1	1	
1	-2.88	3.63	-0.05	0	2	0	0	0	12.38	1	1	1	1	1	
1	-2.74	3.30	-0.05	0	2	0	0	0	12.30	1	1	1	1	1	
1	-2.84	2.95	-0.05	0	2	0	0	0	12.46	1	1	1	1	1	
1	-2.90	2.60	-0.05	0	2	0	0	0	11.99	1	1	1	1	1	
1	-2.57	2.29	-0.05	0	2	0	0	0	12.21	1	1	1	1	1	
1	-2.65	1.96	-0.05	0	2	0	0	0	12.21	1	1	1	1	1	
1	-2.65	1.96	-0.05	0	2	0	0	0	12.17	1	1	1	1	1	
1	-2.90	1.61	-0.05	0	2	0	0	0	12.13	1	1	1	1	1	
1	-2.57	1.29	-0.05	0	2	0	0	0	12.19	1	1	1	1	1	
1	-2.49	0.99	-0.05	0	2	0	0	0	12.48	1	1	1	1	1	
1	-2.59	0.68	-0.05	0	2	0	0	0	12.09	1	1	1	1	1	
1	-2.59	0.68	-0.05	0	2	0	0	0	12.09	1	1	1	1	1	
1	-2.24	0.40	-0.05	0	2	0	0	0	12.50	1	1	1	1	1	
1	-2.24	0.13	-0.05	0	2	0	0	0	12.27	1	1	1	1	1	
1	-2.38	-0.15	-0.05	0	2	0	0	0	12.44	1	1	1	1	1	
