Started Log File:     logs/MMTK 2022-09-18 23-59-04-COM6.txt
Data Source:     COM6

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
0	0.00	0.00	0.00	0	3	0	0	0	12.38	3	3	3	3	3	
1	-1408.07	-105.61	0.13	0	3	0	0	0	12.50	1	1	1	1	1	
1	1298.39	52.80	0.13	0	3	0	0	0	12.46	1	1	1	1	1	
1	1298.39	52.80	0.13	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.11	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.11	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.14	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.14	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.13	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.13	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.13	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.13	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.11	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.11	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.09	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.05	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.10	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.11	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.14	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.11	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.12	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	52.80	0.11	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.11	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	52.80	0.13	0	3	0	0	0	12.46	1	1	1	1	1	
 ========= TARE ==========
NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	-54.26	0.00	0.00	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	0.02	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.05	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.00	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.00	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.03	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.06	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.14	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	0.18	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	0.23	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.36	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.69	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	1.40	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	2.28	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	3.22	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.06	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.52	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	4.62	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.49	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.18	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.97	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.72	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.57	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	3.54	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.49	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.45	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.44	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.44	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	3.45	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.45	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.41	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.38	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.32	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	3.23	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.16	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.11	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.16	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	3.31	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.35	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.29	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.15	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.18	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.30	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.38	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.48	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	3.53	0	0	0	0	0	12.03	0	1	1	1	1	
1	0.00	0.00	3.54	0	0	0	0	0	12.42	0	1	1	1	1	
1	0.00	0.00	3.56	0	0	0	0	0	12.30	0	1	1	1	1	
