Started Log File:     logs/MMTK 2022-09-18 23-53-46-COM6.txt
Data Source:     COM6

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
0	0.00	0.00	0.00	0	3	0	0	0	12.38	3	3	3	3	3	
1	-17488.41	-1084.28	2.15	0	3	0	0	0	12.48	1	1	1	1	1	
1	13222.57	542.09	2.10	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.11	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	542.09	2.19	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.05	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	542.09	1.92	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	542.09	2.16	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.14	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.16	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.26	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.18	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	542.09	2.09	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	1.86	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	1.97	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.06	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.06	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	542.09	2.15	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	542.09	2.29	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.46	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.18	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	542.09	2.03	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	542.09	2.19	0	3	0	0	0	12.48	1	1	1	1	1	
 ========= TARE ==========
NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	-494.16	0.00	0.05	0	3	0	0	0	12.48	1	1	1	1	1	
1	-494.16	0.00	0.16	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.09	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.02	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.13	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.06	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.20	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.20	0	3	0	0	0	12.48	1	1	1	1	1	
