Started Log File:     logs/MMTK 2022-09-18 23-57-53-COM6.txt
Data Source:     COM6

NÂþNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	0.00	53.05	0.14	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	53.05	0.14	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	53.05	0.15	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.16	0	0	0	0	0	12.44	0	1	1	1	1	
1	0.00	53.05	0.15	0	0	0	0	0	12.27	0	1	1	1	1	
1	0.00	53.05	0.17	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.16	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.11	0	1	0	0	0	12.01	1	0	1	1	1	
1	0.00	53.05	0.13	0	1	0	0	0	12.50	1	0	1	1	1	
1	0.00	53.05	0.32	0	1	0	0	0	12.38	1	0	1	1	1	
1	0.00	53.05	0.40	0	1	0	0	0	12.48	1	0	1	1	1	
1	0.00	53.05	0.16	0	1	0	0	0	12.46	1	0	1	1	1	
1	0.00	53.05	0.12	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.13	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.15	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.15	0	0	0	0	0	12.27	0	1	1	1	1	
1	0.00	53.05	0.14	0	0	0	0	0	12.44	0	1	1	1	1	
1	0.00	53.05	0.14	0	0	0	0	0	12.38	0	1	1	1	1	
1	0.00	53.05	0.14	0	0	0	0	0	12.42	0	1	1	1	1	
1	0.00	53.05	0.14	0	0	0	0	0	12.46	0	1	1	1	1	
1	0.00	53.05	0.13	0	0	0	0	0	12.38	0	1	1	1	1	
1	0.00	53.05	0.15	0	0	0	0	0	12.27	0	1	1	1	1	
1	0.00	53.05	0.18	0	0	0	0	0	12.36	0	1	1	1	1	
1	0.00	53.05	0.19	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.19	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.19	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.18	0	1	0	0	0	12.32	1	0	1	1	1	
1	0.00	53.05	0.16	0	1	0	0	0	12.27	1	0	1	1	1	
1	0.00	53.05	0.14	0	1	0	0	0	12.34	1	0	1	1	1	
1	0.00	53.05	0.15	0	1	0	0	0	12.46	1	0	1	1	1	
1	0.00	53.05	0.14	0	1	0	0	0	12.46	1	0	1	1	1	
1	0.00	53.05	0.13	0	1	0	0	0	12.29	1	0	1	1	1	
1	0.00	53.05	0.12	0	1	0	0	0	12.50	1	0	1	1	1	
1	0.00	53.05	0.20	0	1	0	0	0	12.40	1	0	1	1	1	
1	0.00	53.05	0.28	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.12	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	53.05	0.12	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	53.05	0.11	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	53.05	0.11	0	3	0	0	0	12.50	1	1	1	1	1	
 ========= TARE ==========
NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	-54.41	0.00	0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.02	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	0.00	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.00	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.02	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.02	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	0.00	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.00	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	0.00	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.03	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.03	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.04	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	0.00	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	0.00	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.00	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.03	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.02	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	0.02	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.02	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	0.01	0	3	0	0	0	12.50	1	1	1	1	1	
