Started Log File:     logs/MMTK 2022-09-18 22-49-48-COM6.txt
Data Source:     COM6

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
0	0.00	0.00	0.00	0	3	0	0	0	12.36	3	3	3	3	3	
1	0.00	-25.55	-0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.01	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	3	0	0	0	12.44	1	1	1	1	1	
1	0.00	-12.77	-0.02	0	1	0	0	0	11.45	1	0	1	1	1	
1	0.00	-12.77	-0.01	0	1	0	0	0	12.23	1	0	1	1	1	
1	0.00	-12.38	-0.01	0	1	0	0	0	12.25	1	0	1	1	1	
1	0.00	-11.77	-0.02	0	1	0	0	0	12.42	1	0	1	1	1	
1	0.00	-11.77	-0.01	0	1	0	0	0	12.27	1	0	1	1	1	
1	0.00	-11.19	-0.01	0	1	0	0	0	12.27	1	0	1	1	1	
1	0.00	-10.72	-0.01	0	1	0	0	0	12.36	1	0	1	1	1	
1	0.00	-10.12	-0.01	0	1	0	0	0	12.25	1	0	1	1	1	
1	0.00	-9.49	-0.01	0	1	0	0	0	12.38	1	0	1	1	1	
1	0.00	-9.49	-0.01	0	1	0	0	0	12.34	1	0	1	1	1	
1	0.00	-8.44	-0.01	0	1	0	0	0	12.42	1	0	1	1	1	
1	0.00	-8.44	-0.01	0	1	0	0	0	12.23	1	0	1	1	1	
1	0.00	-7.82	-0.01	0	1	0	0	0	12.36	1	0	1	1	1	
1	0.00	-7.31	-0.01	0	1	0	0	0	12.23	1	0	1	1	1	
1	0.00	-6.74	-0.01	0	1	0	0	0	12.36	1	0	1	1	1	
1	225.82	-6.07	-0.01	0	1	0	0	0	12.40	1	0	1	1	1	
1	0.00	-6.07	-0.01	0	1	0	0	0	12.34	1	0	1	1	1	
1	0.00	-5.58	-0.01	0	1	0	0	0	12.38	1	0	1	1	1	
1	0.00	-5.06	-0.01	0	1	0	0	0	12.27	1	0	1	1	1	
1	0.00	-4.25	-0.01	0	1	0	0	0	12.44	1	0	1	1	1	
1	0.00	-4.25	-0.01	0	1	0	0	0	12.34	1	0	1	1	1	
1	0.00	-3.85	-0.01	0	1	0	0	0	12.29	1	0	1	1	1	
1	0.00	-3.31	-0.01	0	1	0	0	0	12.25	1	0	1	1	1	
1	0.00	-2.51	-0.01	0	1	0	0	0	12.38	1	0	1	1	1	
1	0.00	-2.06	-0.01	0	1	0	0	0	12.36	1	0	1	1	1	
1	0.00	-2.06	-0.00	0	1	0	0	0	12.36	1	0	1	1	1	
1	0.00	-0.78	-0.00	0	1	0	0	0	12.44	1	0	1	1	1	
1	0.00	-0.78	-0.00	0	1	0	0	0	12.34	1	0	1	1	1	
1	0.00	-0.29	-0.01	0	1	0	0	0	12.46	1	0	1	1	1	
