Started Log File:     logs/MMTK 2022-09-18 23-49-35-COM6.txt
Data Source:     COM6

NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
null1	470.13	57.83	0.01	0	3	0	0	0	12.50	1	1	1	1	1	
1	470.13	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.01	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.02	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.05	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.07	0	3	0	0	0	12.52	1	1	1	1	1	
1	0.00	57.83	0.07	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.06	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.07	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.06	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.03	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.03	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.03	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.03	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.05	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.09	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.07	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.06	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.08	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.07	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.06	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.06	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.05	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.08	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.08	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.09	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.11	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.10	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.10	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.11	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.12	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.12	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.12	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.12	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.08	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.07	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.46	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	57.83	0.04	0	3	0	0	0	12.48	1	1	1	1	1	
84 ========= TARE ==========
NEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	-59.31	0.00	0.09	0	3	0	0	0	12.52	1	1	1	1	1	
1	0.00	0.00	0.11	0	3	0	0	0	12.54	1	1	1	1	1	
1	0.00	0.00	0.12	0	3	0	0	0	12.54	1	1	1	1	1	
1	0.00	0.00	0.13	0	3	0	0	0	12.52	1	1	1	1	1	
1	0.00	0.00	0.14	0	3	0	0	0	12.52	1	1	1	1	1	
